Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,,,,,,,,,,,
3d5(b 2D)4p,1F°,3,159 493.02,0.11,81,,,,9,3d5(b 2G)4p,1F°,L11223
,,,,,,,,,,,,
3d5(b 2D)4p,3P°,2,160 037.64,0.12,80,,,,14,3d5(2S)4p,3P°,L11223
,,1,160 066.52,0.13,81,,,,13,3d5(2S)4p,3P°,L11223
,,0,160 073.8,0.3,86,,,,13,3d5(2S)4p,3P°,L11223
,,,,,,,,,,,,
3d5(b 2D)4p,1P°,1,161 018.56,0.12,78,,,,15,3d5(2S)4p,1P°,L11223
,,,,,,,,,,,,
3d5(b 2D)4p,1D°,2,162 084.75,0.13,91,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2G)4p,3H°,4,165 719.46,0.11,92,,,,5,3d5(b 2G)4p,3G°,L11223
,,5,165 939.83,0.11,88,,,,7,3d5(b 2G)4p,3G°,L11223
,,6,166 187.74,0.12,98,,,,,,,L11223
,,,,,,,,,,,,
3d5(6S)5p,7P°,2,166 144.81,0.23,,,,,,,,L7185
,,3,166 252.93,0.23,,,,,,,,L7185
,,4,166 421.54,0.23,,,,,,,,L7185
,,,,,,,,,,,,
3d5(b 2G)4p,3F°,4,166 222.34,0.11,81,,,,10,3d5(b 2G)4p,3G°,L11223
,,3,166 497.92,0.12,49,,,,46,3d5(b 2G)4p,3G°,L11223
