Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3d2(1D)4s4p(3P°),u 3F°,2,76 220.220,0.020,,74,,,,7,3d3(2D1)4p,3D°,L20009
,,3,76 385.177,0.017,,75,,,,6,3d2(3F)4s4p(3P°),3F°,L20009
,,4,76 643.532,0.023,,70,,,,12,3d2(3P)4s4p(3P°),5D°,L20009
,,,,,,,,,,,,,
3d2(1D)4s4p(3P°),w 3P°,2,76 252.24,0.06,,91,,,,,,,L20009
,,1,76 454.69,0.16,,91,,,,,,,L20009
,,0,76 521.9†,0.73,,80,,,,15,3d2(3P)4s4p(3P°),1S°,L20009
,,,,,,,,,,,,,
3d3(4F)4d,5D,0,76 281.367,0.004,,92,,,,5,3d3(4P)4d,5D,L20009
,,1,76 322.694,0.004,,92,,,,5,3d3(4P)4d,5D,L20009
,,2,76 403.6726,0.0022,,92,,,,5,3d3(4P)4d,5D,L20009
,,3,76 521.357,0.003,,92,,,,5,3d3(4P)4d,5D,L20009
